strikePrice,expiryDate,CE,PE
22800,03-Jul-2025,"{'strikePrice': 22800, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE22800.00', 'openInterest': 127, 'changeinOpenInterest': 28, 'pchangeinOpenInterest': 28.282828282828284, 'totalTradedVolume': 33, 'impliedVolatility': 0, 'lastPrice': 2720, 'change': 273.25, 'pChange': 11.167875753550629, 'totalBuyQuantity': 4650, 'totalSellQuantity': 3075, 'bidQty': 750, 'bidprice': 2671.7, 'askQty': 75, 'askPrice': 2789.95, 'underlyingValue': 25549}","{'strikePrice': 22800, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE22800.00', 'openInterest': 63154, 'changeinOpenInterest': 45685, 'pchangeinOpenInterest': 261.52040757914017, 'totalTradedVolume': 120775, 'impliedVolatility': 32.34, 'lastPrice': 1.75, 'change': -0.8500000000000001, 'pChange': -32.69230769230769, 'totalBuyQuantity': 834450, 'totalSellQuantity': 166125, 'bidQty': 825, 'bidprice': 1.7, 'askQty': 5850, 'askPrice': 1.75, 'underlyingValue': 25549}"
22850,03-Jul-2025,"{'strikePrice': 22850, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE22850.00', 'openInterest': 6, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 4650, 'totalSellQuantity': 3000, 'bidQty': 750, 'bidprice': 2622, 'askQty': 750, 'askPrice': 2740.45, 'underlyingValue': 25549}","{'strikePrice': 22850, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE22850.00', 'openInterest': 5937, 'changeinOpenInterest': 5512, 'pchangeinOpenInterest': 1296.9411764705883, 'totalTradedVolume': 12107, 'impliedVolatility': 31.79, 'lastPrice': 1.75, 'change': -1.1, 'pChange': -38.59649122807018, 'totalBuyQuantity': 101025, 'totalSellQuantity': 45225, 'bidQty': 900, 'bidprice': 1.75, 'askQty': 3600, 'askPrice': 1.8, 'underlyingValue': 25549}"
22900,03-Jul-2025,"{'strikePrice': 22900, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE22900.00', 'openInterest': 13, 'changeinOpenInterest': 6, 'pchangeinOpenInterest': 85.71428571428571, 'totalTradedVolume': 11, 'impliedVolatility': 0, 'lastPrice': 2629.25, 'change': 317, 'pChange': 13.709590225970375, 'totalBuyQuantity': 4650, 'totalSellQuantity': 3075, 'bidQty': 750, 'bidprice': 2571.95, 'askQty': 750, 'askPrice': 2680.5, 'underlyingValue': 25549}","{'strikePrice': 22900, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE22900.00', 'openInterest': 11177, 'changeinOpenInterest': 10151, 'pchangeinOpenInterest': 989.3762183235867, 'totalTradedVolume': 23880, 'impliedVolatility': 31.34, 'lastPrice': 1.8, 'change': -1.2499999999999998, 'pChange': -40.983606557377044, 'totalBuyQuantity': 107850, 'totalSellQuantity': 64800, 'bidQty': 750, 'bidprice': 1.65, 'askQty': 18450, 'askPrice': 1.8, 'underlyingValue': 25549}"
22950,03-Jul-2025,"{'strikePrice': 22950, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE22950.00', 'openInterest': 14, 'changeinOpenInterest': 7, 'pchangeinOpenInterest': 100, 'totalTradedVolume': 12, 'impliedVolatility': 0, 'lastPrice': 2574.65, 'change': 300.8000000000002, 'pChange': 13.22866503947051, 'totalBuyQuantity': 3900, 'totalSellQuantity': 3075, 'bidQty': 1725, 'bidprice': 2257.25, 'askQty': 750, 'askPrice': 2611.35, 'underlyingValue': 25549}","{'strikePrice': 22950, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE22950.00', 'openInterest': 1247, 'changeinOpenInterest': 1038, 'pchangeinOpenInterest': 496.6507177033493, 'totalTradedVolume': 3652, 'impliedVolatility': 30.88, 'lastPrice': 1.85, 'change': -1.2999999999999998, 'pChange': -41.269841269841265, 'totalBuyQuantity': 46050, 'totalSellQuantity': 15150, 'bidQty': 300, 'bidprice': 1.85, 'askQty': 1800, 'askPrice': 2, 'underlyingValue': 25549}"
23000,03-Jul-2025,"{'strikePrice': 23000, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23000.00', 'openInterest': 478, 'changeinOpenInterest': 330, 'pchangeinOpenInterest': 222.97297297297297, 'totalTradedVolume': 363, 'impliedVolatility': 0, 'lastPrice': 2513.9, 'change': 270.0999999999999, 'pChange': 12.037614760673852, 'totalBuyQuantity': 6450, 'totalSellQuantity': 3375, 'bidQty': 750, 'bidprice': 2472.95, 'askQty': 300, 'askPrice': 2585.25, 'underlyingValue': 25549}","{'strikePrice': 23000, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23000.00', 'openInterest': 35022, 'changeinOpenInterest': 23202, 'pchangeinOpenInterest': 196.2944162436548, 'totalTradedVolume': 114144, 'impliedVolatility': 30.32, 'lastPrice': 1.85, 'change': -1.5, 'pChange': -44.776119402985074, 'totalBuyQuantity': 265800, 'totalSellQuantity': 111450, 'bidQty': 13500, 'bidprice': 1.8, 'askQty': 450, 'askPrice': 1.95, 'underlyingValue': 25549}"
23050,03-Jul-2025,"{'strikePrice': 23050, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23050.00', 'openInterest': 5, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 4650, 'totalSellQuantity': 4650, 'bidQty': 750, 'bidprice': 2423.15, 'askQty': 750, 'askPrice': 2539.95, 'underlyingValue': 25549}","{'strikePrice': 23050, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23050.00', 'openInterest': 1132, 'changeinOpenInterest': 952, 'pchangeinOpenInterest': 528.8888888888889, 'totalTradedVolume': 3175, 'impliedVolatility': 30.75, 'lastPrice': 2.45, 'change': -1, 'pChange': -28.985507246376812, 'totalBuyQuantity': 44025, 'totalSellQuantity': 13425, 'bidQty': 7500, 'bidprice': 1.6, 'askQty': 3600, 'askPrice': 2.05, 'underlyingValue': 25549}"
23100,03-Jul-2025,"{'strikePrice': 23100, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23100.00', 'openInterest': 15, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 4, 'impliedVolatility': 0, 'lastPrice': 2250, 'change': 100, 'pChange': 4.651162790697675, 'totalBuyQuantity': 5025, 'totalSellQuantity': 3900, 'bidQty': 750, 'bidprice': 2400.85, 'askQty': 450, 'askPrice': 2489.85, 'underlyingValue': 25549}","{'strikePrice': 23100, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23100.00', 'openInterest': 9576, 'changeinOpenInterest': 8561, 'pchangeinOpenInterest': 843.448275862069, 'totalTradedVolume': 23662, 'impliedVolatility': 29.3, 'lastPrice': 1.9, 'change': -1.7000000000000002, 'pChange': -47.22222222222223, 'totalBuyQuantity': 41475, 'totalSellQuantity': 14175, 'bidQty': 2175, 'bidprice': 1.85, 'askQty': 1425, 'askPrice': 1.9, 'underlyingValue': 25549}"
23150,03-Jul-2025,"{'strikePrice': 23150, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23150.00', 'openInterest': 5, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 4200, 'totalSellQuantity': 4200, 'bidQty': 750, 'bidprice': 2323.65, 'askQty': 750, 'askPrice': 2440.05, 'underlyingValue': 25549}","{'strikePrice': 23150, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23150.00', 'openInterest': 772, 'changeinOpenInterest': 471, 'pchangeinOpenInterest': 156.47840531561462, 'totalTradedVolume': 4203, 'impliedVolatility': 29.24, 'lastPrice': 2.2, 'change': -1.5499999999999998, 'pChange': -41.33333333333333, 'totalBuyQuantity': 30600, 'totalSellQuantity': 4125, 'bidQty': 3600, 'bidprice': 1.5, 'askQty': 450, 'askPrice': 2.2, 'underlyingValue': 25549}"
23200,03-Jul-2025,"{'strikePrice': 23200, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23200.00', 'openInterest': 22, 'changeinOpenInterest': 16, 'pchangeinOpenInterest': 266.6666666666667, 'totalTradedVolume': 19, 'impliedVolatility': 0, 'lastPrice': 2185, 'change': 127.65000000000009, 'pChange': 6.204583566238127, 'totalBuyQuantity': 4125, 'totalSellQuantity': 3900, 'bidQty': 75, 'bidprice': 2317.1, 'askQty': 450, 'askPrice': 2389.9, 'underlyingValue': 25549}","{'strikePrice': 23200, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23200.00', 'openInterest': 7599, 'changeinOpenInterest': 4872, 'pchangeinOpenInterest': 178.65786578657867, 'totalTradedVolume': 29938, 'impliedVolatility': 28.36, 'lastPrice': 2, 'change': -2, 'pChange': -50, 'totalBuyQuantity': 41625, 'totalSellQuantity': 15525, 'bidQty': 225, 'bidprice': 2, 'askQty': 600, 'askPrice': 2.05, 'underlyingValue': 25549}"
23250,03-Jul-2025,"{'strikePrice': 23250, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23250.00', 'openInterest': 5, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 4650, 'totalSellQuantity': 3000, 'bidQty': 750, 'bidprice': 2224.3, 'askQty': 750, 'askPrice': 2341.7, 'underlyingValue': 25549}","{'strikePrice': 23250, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23250.00', 'openInterest': 704, 'changeinOpenInterest': 137, 'pchangeinOpenInterest': 24.16225749559083, 'totalTradedVolume': 2050, 'impliedVolatility': 27.64, 'lastPrice': 1.9, 'change': -2.1999999999999997, 'pChange': -53.65853658536586, 'totalBuyQuantity': 30525, 'totalSellQuantity': 7875, 'bidQty': 1800, 'bidprice': 1.45, 'askQty': 300, 'askPrice': 2.7, 'underlyingValue': 25549}"
23300,03-Jul-2025,"{'strikePrice': 23300, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23300.00', 'openInterest': 12, 'changeinOpenInterest': 1, 'pchangeinOpenInterest': 9.090909090909092, 'totalTradedVolume': 8, 'impliedVolatility': 0, 'lastPrice': 2222, 'change': 264.4000000000001, 'pChange': 13.506334286881902, 'totalBuyQuantity': 4725, 'totalSellQuantity': 4725, 'bidQty': 750, 'bidprice': 2174.35, 'askQty': 75, 'askPrice': 2261.15, 'underlyingValue': 25549}","{'strikePrice': 23300, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23300.00', 'openInterest': 3677, 'changeinOpenInterest': 1847, 'pchangeinOpenInterest': 100.92896174863388, 'totalTradedVolume': 14906, 'impliedVolatility': 27.32, 'lastPrice': 2.05, 'change': -2.25, 'pChange': -52.32558139534884, 'totalBuyQuantity': 35250, 'totalSellQuantity': 15075, 'bidQty': 450, 'bidprice': 2.05, 'askQty': 1800, 'askPrice': 2.35, 'underlyingValue': 25549}"
23350,03-Jul-2025,"{'strikePrice': 23350, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23350.00', 'openInterest': 5, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 4650, 'totalSellQuantity': 3000, 'bidQty': 750, 'bidprice': 2124.7, 'askQty': 750, 'askPrice': 2240.9, 'underlyingValue': 25549}","{'strikePrice': 23350, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23350.00', 'openInterest': 1039, 'changeinOpenInterest': 318, 'pchangeinOpenInterest': 44.10540915395284, 'totalTradedVolume': 3837, 'impliedVolatility': 26.84, 'lastPrice': 2.1, 'change': -2.4999999999999996, 'pChange': -54.347826086956516, 'totalBuyQuantity': 34125, 'totalSellQuantity': 5325, 'bidQty': 150, 'bidprice': 2.1, 'askQty': 1650, 'askPrice': 5, 'underlyingValue': 25549}"
23400,03-Jul-2025,"{'strikePrice': 23400, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23400.00', 'openInterest': 25, 'changeinOpenInterest': 13, 'pchangeinOpenInterest': 108.33333333333333, 'totalTradedVolume': 14, 'impliedVolatility': 0, 'lastPrice': 1955, 'change': 95.54999999999995, 'pChange': 5.138616257495494, 'totalBuyQuantity': 5025, 'totalSellQuantity': 2250, 'bidQty': 750, 'bidprice': 2100.65, 'askQty': 450, 'askPrice': 2190.85, 'underlyingValue': 25549}","{'strikePrice': 23400, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23400.00', 'openInterest': 6367, 'changeinOpenInterest': 4671, 'pchangeinOpenInterest': 275.4127358490566, 'totalTradedVolume': 25089, 'impliedVolatility': 26.43, 'lastPrice': 2.2, 'change': -2.5999999999999996, 'pChange': -54.166666666666664, 'totalBuyQuantity': 37350, 'totalSellQuantity': 20325, 'bidQty': 225, 'bidprice': 2.15, 'askQty': 375, 'askPrice': 2.2, 'underlyingValue': 25549}"
23450,03-Jul-2025,"{'strikePrice': 23450, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23450.00', 'openInterest': 5, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 2, 'impliedVolatility': 0, 'lastPrice': 1900, 'change': 286.6500000000001, 'pChange': 17.767378436173185, 'totalBuyQuantity': 4200, 'totalSellQuantity': 1800, 'bidQty': 750, 'bidprice': 2025.25, 'askQty': 75, 'askPrice': 2281.3, 'underlyingValue': 25549}","{'strikePrice': 23450, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23450.00', 'openInterest': 553, 'changeinOpenInterest': 148, 'pchangeinOpenInterest': 36.54320987654321, 'totalTradedVolume': 3406, 'impliedVolatility': 26.27, 'lastPrice': 2.5, 'change': -2.45, 'pChange': -49.494949494949495, 'totalBuyQuantity': 27000, 'totalSellQuantity': 11100, 'bidQty': 1800, 'bidprice': 1.65, 'askQty': 75, 'askPrice': 4, 'underlyingValue': 25549}"
23500,03-Jul-2025,"{'strikePrice': 23500, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23500.00', 'openInterest': 404, 'changeinOpenInterest': 172, 'pchangeinOpenInterest': 74.13793103448276, 'totalTradedVolume': 184, 'impliedVolatility': 0, 'lastPrice': 2022.9, 'change': 277.1500000000001, 'pChange': 15.875698124015472, 'totalBuyQuantity': 5400, 'totalSellQuantity': 2475, 'bidQty': 750, 'bidprice': 2011.15, 'askQty': 225, 'askPrice': 2037.4, 'underlyingValue': 25549}","{'strikePrice': 23500, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23500.00', 'openInterest': 44313, 'changeinOpenInterest': 28806, 'pchangeinOpenInterest': 185.7612691042755, 'totalTradedVolume': 140261, 'impliedVolatility': 25.44, 'lastPrice': 2.3, 'change': -2.8500000000000005, 'pChange': -55.33980582524273, 'totalBuyQuantity': 97650, 'totalSellQuantity': 84300, 'bidQty': 900, 'bidprice': 2.25, 'askQty': 750, 'askPrice': 2.35, 'underlyingValue': 25549}"
23550,03-Jul-2025,"{'strikePrice': 23550, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23550.00', 'openInterest': 9, 'changeinOpenInterest': 5, 'pchangeinOpenInterest': 125, 'totalTradedVolume': 10, 'impliedVolatility': 0, 'lastPrice': 1955, 'change': 445.25, 'pChange': 29.491637688359003, 'totalBuyQuantity': 4650, 'totalSellQuantity': 4650, 'bidQty': 750, 'bidprice': 1926, 'askQty': 750, 'askPrice': 2040, 'underlyingValue': 25549}","{'strikePrice': 23550, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23550.00', 'openInterest': 1541, 'changeinOpenInterest': 765, 'pchangeinOpenInterest': 98.58247422680412, 'totalTradedVolume': 6131, 'impliedVolatility': 25.25, 'lastPrice': 2.6, 'change': -2.9499999999999997, 'pChange': -53.153153153153156, 'totalBuyQuantity': 17475, 'totalSellQuantity': 19125, 'bidQty': 1950, 'bidprice': 2.4, 'askQty': 10200, 'askPrice': 2.6, 'underlyingValue': 25549}"
23600,03-Jul-2025,"{'strikePrice': 23600, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23600.00', 'openInterest': 14, 'changeinOpenInterest': 4, 'pchangeinOpenInterest': 40, 'totalTradedVolume': 6, 'impliedVolatility': 0, 'lastPrice': 1820, 'change': 170, 'pChange': 10.303030303030303, 'totalBuyQuantity': 5025, 'totalSellQuantity': 2400, 'bidQty': 750, 'bidprice': 1906.5, 'askQty': 150, 'askPrice': 1937.55, 'underlyingValue': 25549}","{'strikePrice': 23600, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23600.00', 'openInterest': 11549, 'changeinOpenInterest': 7404, 'pchangeinOpenInterest': 178.6248492159228, 'totalTradedVolume': 43340, 'impliedVolatility': 24.74, 'lastPrice': 2.65, 'change': -3.1, 'pChange': -53.91304347826087, 'totalBuyQuantity': 13725, 'totalSellQuantity': 20925, 'bidQty': 300, 'bidprice': 2.55, 'askQty': 300, 'askPrice': 2.65, 'underlyingValue': 25549}"
23650,03-Jul-2025,"{'strikePrice': 23650, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23650.00', 'openInterest': 5, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 4650, 'totalSellQuantity': 4650, 'bidQty': 750, 'bidprice': 1826.7, 'askQty': 750, 'askPrice': 1940.85, 'underlyingValue': 25549}","{'strikePrice': 23650, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23650.00', 'openInterest': 1271, 'changeinOpenInterest': 626, 'pchangeinOpenInterest': 97.05426356589147, 'totalTradedVolume': 4189, 'impliedVolatility': 24.16, 'lastPrice': 2.65, 'change': -3.4, 'pChange': -56.19834710743802, 'totalBuyQuantity': 11925, 'totalSellQuantity': 9600, 'bidQty': 450, 'bidprice': 2.7, 'askQty': 450, 'askPrice': 3, 'underlyingValue': 25549}"
23700,03-Jul-2025,"{'strikePrice': 23700, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23700.00', 'openInterest': 57, 'changeinOpenInterest': 34, 'pchangeinOpenInterest': 147.82608695652175, 'totalTradedVolume': 38, 'impliedVolatility': 0, 'lastPrice': 1794.4, 'change': 238.80000000000018, 'pChange': 15.350989971715107, 'totalBuyQuantity': 4725, 'totalSellQuantity': 4650, 'bidQty': 150, 'bidprice': 1820.15, 'askQty': 750, 'askPrice': 1891.25, 'underlyingValue': 25549}","{'strikePrice': 23700, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23700.00', 'openInterest': 19639, 'changeinOpenInterest': 8846, 'pchangeinOpenInterest': 81.96052997313073, 'totalTradedVolume': 68266, 'impliedVolatility': 23.81, 'lastPrice': 2.85, 'change': -3.5500000000000003, 'pChange': -55.46875, 'totalBuyQuantity': 92775, 'totalSellQuantity': 21675, 'bidQty': 1425, 'bidprice': 2.85, 'askQty': 750, 'askPrice': 3, 'underlyingValue': 25549}"
23750,03-Jul-2025,"{'strikePrice': 23750, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23750.00', 'openInterest': 12, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 1, 'impliedVolatility': 0, 'lastPrice': 1571.9, 'change': 59.55000000000018, 'pChange': 3.9375805865044593, 'totalBuyQuantity': 4650, 'totalSellQuantity': 3900, 'bidQty': 750, 'bidprice': 1727.55, 'askQty': 450, 'askPrice': 1841.65, 'underlyingValue': 25549}","{'strikePrice': 23750, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23750.00', 'openInterest': 1306, 'changeinOpenInterest': 571, 'pchangeinOpenInterest': 77.68707482993197, 'totalTradedVolume': 6101, 'impliedVolatility': 23.39, 'lastPrice': 3, 'change': -3.75, 'pChange': -55.55555555555556, 'totalBuyQuantity': 19500, 'totalSellQuantity': 6600, 'bidQty': 225, 'bidprice': 3.05, 'askQty': 1650, 'askPrice': 3.3, 'underlyingValue': 25549}"
23800,03-Jul-2025,"{'strikePrice': 23800, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025CE23800.00', 'openInterest': 117, 'changeinOpenInterest': 82, 'pchangeinOpenInterest': 234.28571428571428, 'totalTradedVolume': 104, 'impliedVolatility': 0, 'lastPrice': 1725, 'change': 275, 'pChange': 18.96551724137931, 'totalBuyQuantity': 4275, 'totalSellQuantity': 4650, 'bidQty': 150, 'bidprice': 1718.9, 'askQty': 750, 'askPrice': 1791.7, 'underlyingValue': 25549}","{'strikePrice': 23800, 'expiryDate': '03-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY03-07-2025PE23800.00', 'openInterest': 13183, 'changeinOpenInterest': 5602, 'pchangeinOpenInterest': 73.89526447698192, 'totalTradedVolume': 63160, 'impliedVolatility': 23.28, 'lastPrice': 3.5, 'change': -3.7, 'pChange': -51.38888888888889, 'totalBuyQuantity': 45000, 'totalSellQuantity': 63150, 'bidQty': 2925, 'bidprice': 3.5, 'askQty': 300, 'askPrice': 3.55, 'underlyingValue': 25549}"
