,Date,Open,High,Low,Close
0,2021-01-01 05:30:00+05:30,274.9,280.0,274.4,279.4
1,2021-01-04 05:30:00+05:30,281.85,283.9,277.75,281.05
2,2021-01-05 05:30:00+05:30,278.05,282.45,277.0,281.75
3,2021-01-06 05:30:00+05:30,283.0,289.15,281.4,285.05
4,2021-01-07 05:30:00+05:30,289.0,291.8,287.0,287.7
5,2021-01-08 05:30:00+05:30,290.1,291.4,285.2,286.0
6,2021-01-11 05:30:00+05:30,288.0,288.2,279.6,282.5
7,2021-01-12 05:30:00+05:30,280.0,293.85,277.9,292.5
8,2021-01-13 05:30:00+05:30,296.0,308.0,294.5,306.8
9,2021-01-14 05:30:00+05:30,306.7,309.25,303.8,307.25
10,2021-01-15 05:30:00+05:30,306.8,310.9,301.3,303.85
11,2021-01-18 05:30:00+05:30,303.5,308.65,292.2,294.45
12,2021-01-19 05:30:00+05:30,297.65,302.5,296.4,298.6
13,2021-01-20 05:30:00+05:30,298.8,304.7,296.85,302.55
14,2021-01-21 05:30:00+05:30,304.0,305.15,291.5,294.85
15,2021-01-22 05:30:00+05:30,295.5,298.0,282.4,283.7
16,2021-01-25 05:30:00+05:30,284.5,288.0,277.05,280.95
17,2021-01-27 05:30:00+05:30,280.2,284.85,272.7,275.65
18,2021-01-28 05:30:00+05:30,271.9,283.35,269.5,282.35
19,2021-01-29 05:30:00+05:30,285.6,290.65,279.1,282.1
20,2021-02-01 05:30:00+05:30,285.1,313.9,282.75,310.7
21,2021-02-02 05:30:00+05:30,315.0,337.4,315.0,333.1
22,2021-02-03 05:30:00+05:30,333.75,339.9,325.8,335.95
23,2021-02-04 05:30:00+05:30,334.4,358.0,331.1,355.1
24,2021-02-05 05:30:00+05:30,387.0,408.35,385.15,393.1
25,2021-02-08 05:30:00+05:30,398.0,407.8,394.75,397.05
26,2021-02-09 05:30:00+05:30,396.75,403.5,389.0,394.8
27,2021-02-10 05:30:00+05:30,394.05,397.9,388.0,392.25
28,2021-02-11 05:30:00+05:30,391.8,396.95,388.25,390.15
29,2021-02-12 05:30:00+05:30,391.0,399.35,385.55,393.15
30,2021-02-15 05:30:00+05:30,397.5,409.45,395.7,406.95
31,2021-02-16 05:30:00+05:30,412.0,415.75,400.3,402.35
32,2021-02-17 05:30:00+05:30,403.0,414.85,400.15,411.75
33,2021-02-18 05:30:00+05:30,425.05,427.7,413.7,415.2
34,2021-02-19 05:30:00+05:30,415.0,415.0,395.0,399.55
35,2021-02-22 05:30:00+05:30,400.6,401.0,385.65,389.5
36,2021-02-23 05:30:00+05:30,392.0,399.7,389.0,395.6
37,2021-02-24 05:30:00+05:30,397.0,410.5,395.2,406.25
38,2021-02-25 05:30:00+05:30,411.0,414.9,406.55,407.25
39,2021-02-26 05:30:00+05:30,399.5,401.0,387.0,390.15
40,2021-03-01 05:30:00+05:30,395.1,397.7,391.0,394.95
41,2021-03-02 05:30:00+05:30,395.0,399.55,390.55,394.2
42,2021-03-03 05:30:00+05:30,396.5,408.9,396.0,405.05
43,2021-03-04 05:30:00+05:30,398.7,403.5,394.45,395.65
44,2021-03-05 05:30:00+05:30,395.0,395.0,378.1,383.65
45,2021-03-08 05:30:00+05:30,388.45,393.4,386.05,389.6
46,2021-03-09 05:30:00+05:30,393.45,394.9,382.25,387.6
47,2021-03-10 05:30:00+05:30,391.1,393.0,385.7,387.7
48,2021-03-12 05:30:00+05:30,391.7,393.2,377.5,381.1
49,2021-03-15 05:30:00+05:30,382.5,386.0,369.35,383.9
50,2021-03-16 05:30:00+05:30,385.6,387.85,376.1,378.55
51,2021-03-17 05:30:00+05:30,378.2,379.65,366.05,368.15
52,2021-03-18 05:30:00+05:30,371.5,375.0,361.1,367.1
53,2021-03-19 05:30:00+05:30,363.95,372.9,357.25,371.15
54,2021-03-22 05:30:00+05:30,372.0,372.8,363.5,367.0
55,2021-03-23 05:30:00+05:30,368.7,377.95,367.05,372.7
56,2021-03-24 05:30:00+05:30,368.5,369.05,358.65,359.85
57,2021-03-25 05:30:00+05:30,360.0,360.85,345.2,355.2
58,2021-03-26 05:30:00+05:30,360.0,362.0,354.55,357.2
59,2021-03-30 05:30:00+05:30,360.1,364.3,356.3,360.8
60,2021-03-31 05:30:00+05:30,360.3,367.85,357.95,364.3
61,2021-04-01 05:30:00+05:30,367.7,371.9,363.1,370.65
62,2021-04-05 05:30:00+05:30,367.5,369.2,349.05,353.55
63,2021-04-06 05:30:00+05:30,355.7,357.0,349.3,350.55
64,2021-04-07 05:30:00+05:30,351.25,363.2,347.6,358.55
65,2021-04-08 05:30:00+05:30,361.0,363.3,354.3,355.6
66,2021-04-09 05:30:00+05:30,354.4,364.5,351.2,353.0
67,2021-04-12 05:30:00+05:30,344.0,344.0,322.55,328.85
68,2021-04-13 05:30:00+05:30,332.0,342.25,330.5,341.0
69,2021-04-15 05:30:00+05:30,342.1,347.55,336.1,342.7
70,2021-04-16 05:30:00+05:30,343.0,345.5,338.65,339.9
71,2021-04-19 05:30:00+05:30,327.15,332.05,321.3,331.15
72,2021-04-20 05:30:00+05:30,335.1,339.9,326.7,329.5
73,2021-04-22 05:30:00+05:30,326.0,337.65,323.3,336.65
74,2021-04-23 05:30:00+05:30,331.65,339.9,331.65,336.45
75,2021-04-26 05:30:00+05:30,339.25,347.45,339.25,344.3
76,2021-04-27 05:30:00+05:30,344.0,354.95,342.4,353.05
77,2021-04-28 05:30:00+05:30,357.0,364.3,356.05,363.4
78,2021-04-29 05:30:00+05:30,365.0,369.95,355.5,359.4
79,2021-04-30 05:30:00+05:30,353.45,362.5,350.45,353.5
80,2021-05-03 05:30:00+05:30,349.6,352.5,341.4,350.6
81,2021-05-04 05:30:00+05:30,355.0,362.9,350.2,351.5
82,2021-05-05 05:30:00+05:30,356.5,357.45,348.0,355.4
83,2021-05-06 05:30:00+05:30,358.0,359.35,350.55,355.55
84,2021-05-07 05:30:00+05:30,357.5,362.0,353.0,358.25
85,2021-05-10 05:30:00+05:30,360.5,367.0,358.8,361.7
86,2021-05-11 05:30:00+05:30,356.85,366.4,354.75,364.65
87,2021-05-12 05:30:00+05:30,362.8,373.5,361.9,367.7
88,2021-05-14 05:30:00+05:30,370.0,372.5,359.55,360.45
89,2021-05-17 05:30:00+05:30,364.4,385.2,363.65,383.1
90,2021-05-18 05:30:00+05:30,390.0,392.55,380.05,382.25
91,2021-05-19 05:30:00+05:30,382.0,389.5,381.2,384.4
92,2021-05-20 05:30:00+05:30,387.0,387.8,382.0,384.55
93,2021-05-21 05:30:00+05:30,390.0,404.4,378.0,401.2
94,2021-05-24 05:30:00+05:30,417.0,419.2,405.3,412.05
95,2021-05-25 05:30:00+05:30,415.1,415.5,408.5,412.35
96,2021-05-26 05:30:00+05:30,413.8,418.75,410.8,413.55
97,2021-05-27 05:30:00+05:30,413.7,429.1,412.0,425.2
98,2021-05-28 05:30:00+05:30,430.5,433.65,420.05,422.05
99,2021-05-31 05:30:00+05:30,421.0,426.0,418.0,424.35
100,2021-06-01 05:30:00+05:30,426.05,435.35,425.6,432.55
101,2021-06-02 05:30:00+05:30,430.8,437.95,429.15,437.25
102,2021-06-03 05:30:00+05:30,437.0,441.95,433.5,439.65
103,2021-06-04 05:30:00+05:30,437.5,441.9,431.75,433.6
104,2021-06-07 05:30:00+05:30,435.1,437.4,430.8,432.25
105,2021-06-08 05:30:00+05:30,432.25,432.5,424.0,427.2
106,2021-06-09 05:30:00+05:30,427.5,432.3,418.2,421.45
107,2021-06-10 05:30:00+05:30,424.9,433.3,422.4,432.25
108,2021-06-11 05:30:00+05:30,434.85,435.5,425.25,429.6
109,2021-06-14 05:30:00+05:30,427.0,432.45,416.7,430.35
110,2021-06-15 05:30:00+05:30,429.2,432.8,428.0,429.5
111,2021-06-16 05:30:00+05:30,428.0,432.75,425.0,425.95
112,2021-06-17 05:30:00+05:30,421.0,425.95,416.6,420.25
113,2021-06-18 05:30:00+05:30,423.9,423.9,402.65,412.9
114,2021-06-21 05:30:00+05:30,406.35,421.0,400.5,419.75
115,2021-06-22 05:30:00+05:30,423.0,425.45,417.3,418.65
116,2021-06-23 05:30:00+05:30,421.1,424.75,415.0,418.85
117,2021-06-24 05:30:00+05:30,420.35,422.75,416.3,417.2
118,2021-06-25 05:30:00+05:30,421.0,431.0,419.05,428.8
119,2021-06-28 05:30:00+05:30,430.7,433.15,424.55,426.75
120,2021-06-29 05:30:00+05:30,427.5,428.95,420.55,421.5
121,2021-06-30 05:30:00+05:30,423.0,424.9,418.3,419.2
122,2021-07-01 05:30:00+05:30,420.3,423.7,417.15,420.4
123,2021-07-02 05:30:00+05:30,420.3,425.4,419.0,424.4
124,2021-07-05 05:30:00+05:30,426.5,434.5,424.25,432.65
125,2021-07-06 05:30:00+05:30,431.7,436.5,428.2,429.75
126,2021-07-07 05:30:00+05:30,429.35,434.0,427.55,432.85
127,2021-07-08 05:30:00+05:30,432.8,435.4,422.1,424.45
128,2021-07-09 05:30:00+05:30,425.0,427.5,421.05,423.75
129,2021-07-12 05:30:00+05:30,426.5,430.25,424.6,427.45
130,2021-07-13 05:30:00+05:30,430.0,431.8,428.3,429.1
131,2021-07-14 05:30:00+05:30,429.0,432.3,426.4,431.05
132,2021-07-15 05:30:00+05:30,432.7,432.95,429.65,431.7
133,2021-07-16 05:30:00+05:30,432.0,432.5,427.45,430.0
134,2021-07-19 05:30:00+05:30,423.4,429.45,418.85,427.9
135,2021-07-20 05:30:00+05:30,427.0,427.0,418.9,420.9
136,2021-07-22 05:30:00+05:30,425.55,426.7,420.9,422.05
137,2021-07-23 05:30:00+05:30,422.9,429.95,419.5,428.9
138,2021-07-26 05:30:00+05:30,427.8,427.8,422.3,423.3
139,2021-07-27 05:30:00+05:30,424.15,433.25,424.0,429.95
140,2021-07-28 05:30:00+05:30,430.0,430.5,421.05,425.5
141,2021-07-29 05:30:00+05:30,426.0,443.6,425.5,441.55
142,2021-07-30 05:30:00+05:30,441.5,444.4,430.7,431.8
143,2021-08-02 05:30:00+05:30,434.75,436.7,431.8,434.9
144,2021-08-03 05:30:00+05:30,434.95,447.9,433.6,446.5
145,2021-08-04 05:30:00+05:30,448.65,467.45,441.5,456.95
146,2021-08-05 05:30:00+05:30,461.0,462.5,438.4,441.85
147,2021-08-06 05:30:00+05:30,443.7,447.0,434.0,435.65
148,2021-08-09 05:30:00+05:30,437.9,441.8,431.0,433.4
149,2021-08-10 05:30:00+05:30,434.4,436.4,421.7,426.45
150,2021-08-11 05:30:00+05:30,429.8,432.9,423.15,428.05
151,2021-08-12 05:30:00+05:30,430.0,430.45,425.0,427.15
152,2021-08-13 05:30:00+05:30,427.6,432.25,425.0,431.2
153,2021-08-16 05:30:00+05:30,430.0,434.0,424.0,424.85
154,2021-08-17 05:30:00+05:30,424.85,425.85,415.25,421.5
155,2021-08-18 05:30:00+05:30,422.15,424.35,418.0,419.7
156,2021-08-20 05:30:00+05:30,415.0,417.35,405.15,406.7
157,2021-08-23 05:30:00+05:30,411.1,413.0,401.25,409.5
158,2021-08-24 05:30:00+05:30,409.5,418.75,408.2,417.6
159,2021-08-25 05:30:00+05:30,419.0,421.3,414.3,416.25
160,2021-08-26 05:30:00+05:30,414.5,415.8,410.0,410.75
161,2021-08-27 05:30:00+05:30,410.35,414.35,407.5,412.45
162,2021-08-30 05:30:00+05:30,414.4,423.3,413.5,422.7
163,2021-08-31 05:30:00+05:30,423.85,427.0,418.7,426.05
164,2021-09-01 05:30:00+05:30,427.5,432.55,425.15,429.9
165,2021-09-02 05:30:00+05:30,431.4,433.5,427.75,429.75
166,2021-09-03 05:30:00+05:30,431.25,434.3,428.2,431.4
167,2021-09-06 05:30:00+05:30,432.0,433.85,430.05,431.05
168,2021-09-07 05:30:00+05:30,431.05,431.7,425.1,429.1
169,2021-09-08 05:30:00+05:30,429.0,435.4,427.35,431.35
170,2021-09-09 05:30:00+05:30,430.25,433.8,430.0,432.3
171,2021-09-13 05:30:00+05:30,430.1,433.8,428.8,432.85
172,2021-09-14 05:30:00+05:30,435.0,436.75,432.25,433.0
173,2021-09-15 05:30:00+05:30,433.0,445.0,431.45,443.85
174,2021-09-16 05:30:00+05:30,444.85,466.1,442.75,463.7
175,2021-09-17 05:30:00+05:30,468.0,471.9,450.35,454.1
176,2021-09-20 05:30:00+05:30,449.4,453.5,435.65,437.45
177,2021-09-21 05:30:00+05:30,440.15,441.35,432.65,438.8
178,2021-09-22 05:30:00+05:30,438.9,442.8,436.1,438.85
179,2021-09-23 05:30:00+05:30,442.4,451.15,442.05,449.8
180,2021-09-24 05:30:00+05:30,451.1,451.9,440.0,440.75
181,2021-09-27 05:30:00+05:30,444.9,450.55,442.25,446.6
182,2021-09-28 05:30:00+05:30,449.2,455.8,439.6,444.9
183,2021-09-29 05:30:00+05:30,441.85,462.3,439.1,460.0
184,2021-09-30 05:30:00+05:30,459.95,464.9,451.4,453.0
185,2021-10-01 05:30:00+05:30,448.5,455.55,443.8,451.65
186,2021-10-04 05:30:00+05:30,453.8,464.4,451.6,463.15
187,2021-10-05 05:30:00+05:30,462.0,469.0,458.7,464.7
188,2021-10-06 05:30:00+05:30,465.0,471.0,453.65,457.2
189,2021-10-07 05:30:00+05:30,462.1,464.0,457.1,457.9
190,2021-10-08 05:30:00+05:30,461.9,464.0,454.25,458.0
191,2021-10-11 05:30:00+05:30,460.0,474.95,458.65,469.25
192,2021-10-12 05:30:00+05:30,470.0,484.4,468.1,483.0
193,2021-10-13 05:30:00+05:30,486.15,486.15,478.0,481.7
194,2021-10-14 05:30:00+05:30,482.0,493.9,482.0,490.6
195,2021-10-18 05:30:00+05:30,494.0,501.0,491.7,497.95
196,2021-10-19 05:30:00+05:30,500.35,504.2,483.25,488.2
197,2021-10-20 05:30:00+05:30,488.8,507.5,483.1,499.9
198,2021-10-21 05:30:00+05:30,504.9,506.5,491.75,502.95
199,2021-10-22 05:30:00+05:30,504.6,508.7,500.0,502.95
200,2021-10-25 05:30:00+05:30,506.5,515.45,497.85,506.5
201,2021-10-26 05:30:00+05:30,507.6,518.2,507.6,512.55
202,2021-10-27 05:30:00+05:30,513.7,526.85,512.75,519.15
203,2021-10-28 05:30:00+05:30,519.6,520.55,497.6,501.35
204,2021-10-29 05:30:00+05:30,501.5,512.65,488.4,502.15
205,2021-11-01 05:30:00+05:30,508.5,516.95,501.0,515.7
206,2021-11-02 05:30:00+05:30,514.8,525.0,512.05,521.7
207,2021-11-03 05:30:00+05:30,524.0,542.3,515.2,527.65
208,2021-11-04 05:30:00+05:30,531.5,535.9,528.05,530.45
209,2021-11-08 05:30:00+05:30,534.45,534.45,516.45,523.25
210,2021-11-09 05:30:00+05:30,526.25,532.0,522.2,529.15
211,2021-11-10 05:30:00+05:30,525.55,528.5,521.5,524.4
212,2021-11-11 05:30:00+05:30,522.85,522.85,507.1,509.6
213,2021-11-12 05:30:00+05:30,512.0,513.0,502.7,511.35
214,2021-11-15 05:30:00+05:30,512.4,515.9,505.5,506.55
215,2021-11-16 05:30:00+05:30,507.4,507.4,493.5,495.1
216,2021-11-17 05:30:00+05:30,493.85,505.4,491.0,498.15
217,2021-11-18 05:30:00+05:30,499.1,506.2,492.3,503.8
218,2021-11-22 05:30:00+05:30,506.0,506.0,477.5,486.4
219,2021-11-23 05:30:00+05:30,485.25,495.4,480.0,493.05
220,2021-11-24 05:30:00+05:30,495.8,500.0,489.05,493.15
221,2021-11-25 05:30:00+05:30,490.0,495.45,486.3,490.55
222,2021-11-26 05:30:00+05:30,486.25,487.9,467.1,470.5
223,2021-11-29 05:30:00+05:30,470.0,477.75,454.3,465.1
224,2021-11-30 05:30:00+05:30,468.0,477.25,458.0,460.55
225,2021-12-01 05:30:00+05:30,464.45,477.25,464.0,475.3
226,2021-12-02 05:30:00+05:30,474.5,478.15,470.95,477.0
227,2021-12-03 05:30:00+05:30,475.75,481.5,470.05,473.15
228,2021-12-06 05:30:00+05:30,473.15,477.0,463.8,465.3
229,2021-12-07 05:30:00+05:30,469.2,479.7,469.2,476.7
230,2021-12-08 05:30:00+05:30,480.9,492.4,480.25,491.55
231,2021-12-09 05:30:00+05:30,492.3,493.5,486.1,488.65
232,2021-12-10 05:30:00+05:30,488.5,495.95,484.4,494.7
233,2021-12-13 05:30:00+05:30,497.75,500.45,486.35,487.8
234,2021-12-14 05:30:00+05:30,486.0,490.35,481.8,488.55
235,2021-12-15 05:30:00+05:30,490.0,491.0,483.5,484.8
236,2021-12-16 05:30:00+05:30,488.35,490.55,478.25,481.15
237,2021-12-17 05:30:00+05:30,480.05,481.4,466.5,467.8
238,2021-12-20 05:30:00+05:30,459.0,464.0,443.0,449.2
239,2021-12-21 05:30:00+05:30,457.05,458.25,444.5,446.0
240,2021-12-22 05:30:00+05:30,450.0,457.3,449.0,455.85
241,2021-12-23 05:30:00+05:30,461.0,465.0,457.75,461.8
242,2021-12-24 05:30:00+05:30,462.6,463.6,452.2,456.95
243,2021-12-27 05:30:00+05:30,453.7,460.5,450.55,458.05
244,2021-12-28 05:30:00+05:30,461.2,462.9,459.05,461.2
245,2021-12-29 05:30:00+05:30,461.0,462.15,451.4,454.4
246,2021-12-30 05:30:00+05:30,452.75,454.9,448.5,451.7
247,2021-12-31 05:30:00+05:30,454.25,461.4,453.1,460.45
248,2022-01-03 05:30:00+05:30,462.0,472.0,460.1,470.8
249,2022-01-04 05:30:00+05:30,472.5,484.7,471.05,483.5
250,2022-01-05 05:30:00+05:30,481.9,495.0,479.15,492.4
251,2022-01-06 05:30:00+05:30,487.7,494.4,485.4,491.7
252,2022-01-07 05:30:00+05:30,493.45,501.95,489.45,491.25
253,2022-01-10 05:30:00+05:30,493.35,504.95,492.5,503.65
254,2022-01-11 05:30:00+05:30,503.0,507.8,499.25,505.95
255,2022-01-12 05:30:00+05:30,509.9,513.5,508.5,510.25
256,2022-01-13 05:30:00+05:30,510.0,512.85,507.0,511.35
257,2022-01-14 05:30:00+05:30,509.0,510.35,505.15,508.35
258,2022-01-17 05:30:00+05:30,508.0,518.9,507.55,514.0
259,2022-01-18 05:30:00+05:30,514.0,517.45,505.0,506.8
260,2022-01-19 05:30:00+05:30,505.0,517.65,500.3,515.8
261,2022-01-20 05:30:00+05:30,516.0,519.15,508.0,511.4
262,2022-01-21 05:30:00+05:30,505.3,507.5,498.0,502.7
263,2022-01-24 05:30:00+05:30,502.4,506.8,488.0,494.15
264,2022-01-25 05:30:00+05:30,490.0,517.5,489.0,514.65
265,2022-01-27 05:30:00+05:30,503.55,530.85,503.2,528.95
266,2022-01-28 05:30:00+05:30,534.0,536.4,521.4,523.45
267,2022-01-31 05:30:00+05:30,529.0,540.9,527.05,538.3
268,2022-02-01 05:30:00+05:30,543.95,543.95,520.0,532.3
269,2022-02-02 05:30:00+05:30,536.65,544.25,531.35,539.8
270,2022-02-03 05:30:00+05:30,537.15,544.7,537.15,540.1
271,2022-02-04 05:30:00+05:30,542.15,546.4,527.3,530.3
272,2022-02-07 05:30:00+05:30,531.9,549.0,525.25,533.25
273,2022-02-08 05:30:00+05:30,535.5,537.65,519.0,531.35
274,2022-02-09 05:30:00+05:30,534.95,536.5,527.75,535.25
275,2022-02-10 05:30:00+05:30,537.1,543.95,534.4,540.55
276,2022-02-11 05:30:00+05:30,536.25,537.7,527.1,529.6
277,2022-02-14 05:30:00+05:30,515.0,515.6,499.7,501.4
278,2022-02-15 05:30:00+05:30,502.0,526.85,497.1,524.8
279,2022-02-16 05:30:00+05:30,526.5,528.0,514.0,516.7
280,2022-02-17 05:30:00+05:30,520.0,520.0,511.15,512.95
281,2022-02-18 05:30:00+05:30,510.1,520.9,510.1,515.3
282,2022-02-21 05:30:00+05:30,511.55,517.5,504.65,511.85
283,2022-02-22 05:30:00+05:30,500.9,505.3,495.5,498.4
284,2022-02-23 05:30:00+05:30,503.0,505.35,497.25,498.7
285,2022-02-24 05:30:00+05:30,480.0,487.95,468.0,472.65
286,2022-02-25 05:30:00+05:30,480.0,491.9,479.3,482.95
287,2022-02-28 05:30:00+05:30,476.9,485.3,473.1,483.2
288,2022-03-02 05:30:00+05:30,478.0,479.8,467.0,474.25
